ber(bad,bett) --- просить
biter(bet,bitit) --- кусать
bjuder(bjöd,bjudit) --- приглашать
blir(blev,blivit) --- cтановиться
brinner(brann,brunnit) --- гореть
bär(bar,burit) --- носить
bör(borde,bort) --- быть обязанным
dricker(drack,druckit) --- пить
dör(dog,dött) --- умирать
faller(föll,fallit) --- падать
far(for,farit) --- ехать
finner(fann,funnit) --- находить
finns(fanns,funnits) --- находиться
flyger(flög,flygit) --- лететь
får(fick,fått) --- получать
försvinner(försvann,försvunnet) --- исчезать
ger(gav,gett/givit) --- давать
glädjer(gladde,glatt) --- радовать
gråter(grät,gråtit) --- плакать
går(gick,gått) --- идти
gör(gjorde,gjort) --- делать
har(hade,haft) --- иметь
heter(hette,hetat) --- называться
hinner(hann,hunnit) --- успевать
håller(höll,hållit) --- держать
kommer(kom,kommit) --- приходить
kan(kunde,kunnat) --- мочь,уметь
ler(log,lett) --- улыбаться
